State,"Total number of SNAP households in thousands","Number of SNAP households with children in thousands","Percentage of SNAP households with children","Number of SNAP households with elderly people in thousands","Percentage of SNAP households with elderly people","Number of SNAP households with non-elderly people with disabilities in thousands","Percentage of SNAP households with non-elderly people with disabilities","Number of households with childless adults aged 18-49 without disabilities in thousands","Percentage of SNAP Households with childless adults aged 18-49 without disabilities","Number of SNAP households with earnings in thousands","Percentage of SNAP households with earnings","Number of households with zero gross income in thousands","Percentage of SNAP households with zero gross income","Number of SNAP households with SSI income in thousands","Percentage of SNAP households with SSI income","Number of households with TANF income in thousands","Percentage of SNAP households with TANF income"
"North Carolina",634,290,45.8,144,22.7,119,18.8,88,13.8,230,36.2,118,18.7,130,20.4,10,1.5
"North Dakota",24,10,41.7,5,19.8,7,28.9,3,13,8,31.2,4,14.8,5,21,1,5
Ohio,698,281,40.3,181,25.9,176,25.3,77,11,207,29.7,120,17.3,181,26,25,3.6
Oklahoma,260,117,45.2,52,20.1,52,20.1,42,16.1,82,31.7,59,22.6,62,23.7,4,1.4
Oregon,358,101,28.2,95,26.6,68,19,85,23.9,108,30.2,76,21.3,65,18.1,17,4.6
Pennsylvania,946,320,33.9,291,30.8,240,25.4,141,15,295,31.2,139,14.7,258,27.3,35,3.7
"Rhode Island",92,28,30.4,30,32.6,21,22.4,14,15.5,21,22.4,19,20.4,24,25.9,6,6.1
"South Carolina",301,146,48.3,78,26,67,22.2,24,7.8,78,26,59,19.6,72,23.7,10,3.2
"South Dakota",40,18,45.8,8,19.7,9,23.3,6,14.1,12,30.1,8,21.1,8,19.4,3,7.2
Tennessee,463,193,41.8,101,21.9,112,24.2,68,14.8,113,24.3,116,25,116,25,17,3.7
Texas,1595,852,53.4,382,23.9,302,18.9,100,6.3,606,38,338,21.2,315,19.7,27,1.7
Utah,76,39,51.3,13,17.6,16,21.5,10,12.6,27,36,14,19.1,16,20.6,3,3.5
Vermont,41,12,29.6,14,33.6,13,31.4,4,10.6,11,27.8,3,8,10,25.4,3,7.2
"Virgin Islands",14,6,42.9,3,24.4,,2.9,3,21,4,32.3,2,17.5,0,0,0,3.3
Virginia,342,154,44.9,95,27.7,90,26.3,24,7,97,28.2,51,15,102,29.7,16,4.8
Washington,495,149,30,132,26.7,121,24.5,98,19.7,118,23.9,95,19.1,130,26.3,22,4.4
"West Virginia",163,61,37.3,41,25.3,40,24.5,26,16.2,38,23.2,33,20.5,42,25.7,2,1.4
Wisconsin,323,120,37.2,80,24.9,82,25.3,44,13.7,114,35.3,47,14.6,70,21.7,6,1.8
Wyoming,13,6,48.7,3,21.2,3,21.8,1,10,4,35.2,2,18.7,2,19.5,0,0.8
